backers_count,Blurb length,Blurb caps,Category,Category (parent only),country,campaign length (deadline - launched at,decision timing (state changed - launched at),fx_rate,goal,Name Length,Name Caps,spotlight,staff_pick,State,usd_pledged
61,107,4,"dance/performances""",dance,US,2592000,2592000,1,3000,21,3,TRUE,TRUE,1,4618.0
52,135,13,"food/drinks""",food,US,2592000,2592000,1,20000,54,7,FALSE,TRUE,0,3461.0
0,95,10,"food/drinks""",food,US,2024373,2024373,1,15000,32,6,FALSE,FALSE,0,0.0
2,107,4,"food/food trucks""",food,US,5180400,5180400,1,2000,36,29,FALSE,FALSE,0,25.0
150,75,0,"design/product design""",design,US,1209600,1209600,1,800,41,10,TRUE,FALSE,1,3275.0
42,124,4,"dance""",dance,US,1296000,1296000,1,1800,13,2,TRUE,FALSE,1,2796.0
56,126,6,"fashion/pet fashion""",fashion,US,2764800,2764800,1,7200,57,4,TRUE,FALSE,1,7600.0
219,59,5,"dance/performances""",dance,US,2592000,2592017,1,10000,21,4,TRUE,TRUE,1,10940.99
50,114,4,"publishing/poetry""",publishing,US,2592000,2592003,1,1800,48,3,TRUE,FALSE,1,2075.02
4,130,17,"food/food trucks""",food,US,3024000,3024004,1,3500,30,4,FALSE,FALSE,0,140.0
35,125,17,"dance/residencies""",dance,US,3381494,3381495,1,7500,38,6,TRUE,FALSE,1,7805.0
62,93,7,"music/jazz""",music,US,4741802,4741802,1,4000,15,2,TRUE,FALSE,1,4358.0
25,110,6,"design/product design""",design,US,2458809,2458809,1,500,30,5,TRUE,FALSE,1,581.0
35,112,2,"art/painting""",art,US,1814400,1814400,1,3500,46,6,TRUE,FALSE,1,4188.0
0,98,4,"publishing/young adult""",publishing,US,2592000,2592000,1,2000,31,4,FALSE,FALSE,0,0.0
32,45,1,"music/indie rock""",music,AU,2592000,2592000,0.72636675,2500,13,3,TRUE,TRUE,1,1730.1405500364
78,122,9,"theater/immersive""",theater,US,1814400,1814400,1,1500,43,5,TRUE,FALSE,1,3570.0
0,126,12,"food/food trucks""",food,CA,1296000,1296002,0.75574365,5500,59,11,FALSE,FALSE,0,0.0
28,98,1,"design""",design,US,2592000,2,1,1000,31,0,FALSE,FALSE,NA,1015.0
10,47,4,"music/faith""",music,US,1820368,1820368,1,200,54,5,TRUE,FALSE,1,216.0
2,134,3,"journalism/video""",journalism,US,2595600,2595601,1,20000,31,4,FALSE,FALSE,0,61.0
69,134,8,"dance""",dance,US,2592000,2592001,1,7000,27,5,TRUE,FALSE,1,7222.33
